NAME,CATEGORY,SUBCATEGORY,LON,LAT,
Skidegate,SETTLEMENTS,VILLAGE,-131.9933868,53.2649437,
North Kamloops,SETTLEMENTS,SUBURB,-120.35519950000001,50.691410000000005,
Chief Lake,SETTLEMENTS,TOWN,-123.0178843,54.098423700000005,
Woodpecker,SETTLEMENTS,HAMLET,-122.63333300000001,53.516667000000005,
Seton Portage,SETTLEMENTS,HAMLET,-122.30000000000001,50.7,
Cecil Lake,SETTLEMENTS,HAMLET,-120.56562070000001,56.30508330000001,
Hartley Bay,SETTLEMENTS,TOWN,-129.253082,53.425649400000005,
Aleza Lake,SETTLEMENTS,HAMLET,-122.05062120000001,54.1147051,
Lakelse,SETTLEMENTS,TOWN,-128.55,54.36666700000001,
Lemieux,SETTLEMENTS,TOWN,-133.116667,59.916667000000004,
Langley Township,SETTLEMENTS,TOWN,-122.65933100000001,49.120294200000004,
Cache Creek,SETTLEMENTS,TOWN,-121.3242108,50.813173600000006,
Rose Harbour,SETTLEMENTS,HAMLET,-131.0835353,52.148944900000004,
Telegraph Cove,SETTLEMENTS,HAMLET,-126.83134220000001,50.546905200000005,
Babine,SETTLEMENTS,TOWN,-126.61743200000001,55.317424,
Hilliers,SETTLEMENTS,VILLAGE,-124.483333,49.300000000000004,
Kakawis,SETTLEMENTS,HAMLET,-125.9156107,49.1887982,
Loos,SETTLEMENTS,HAMLET,-120.7107811,53.604798200000005,
Fraser Lake,SETTLEMENTS,TOWN,-124.8439627,54.0602917,
Goat River,SETTLEMENTS,HAMLET,-120.5874747,53.5395551,
Lily Lake,SETTLEMENTS,TOWN,-124.56666700000001,53.883333,
Gibsons,SETTLEMENTS,TOWN,-123.5089186,49.4006197,
Tlell,SETTLEMENTS,VILLAGE,-131.93344100000002,53.583538000000004,
Fort Nelson,SETTLEMENTS,TOWN,-122.69395920000001,58.8062848,
Ladner,SETTLEMENTS,SUBURB,-123.08333300000001,49.083333,
Port Progress,SETTLEMENTS,TOWN,-127.28333300000001,50.916667000000004,
Oona River,SETTLEMENTS,VILLAGE,-130.25868930000001,53.947875,
Toad River Post,SETTLEMENTS,TOWN,-124.866667,59.383333,
Witset,SETTLEMENTS,TOWN,-127.3299556,55.021405,
Summit Lake,SETTLEMENTS,VILLAGE,-122.6439739,54.28195650000001,
Blackpool,SETTLEMENTS,HAMLET,-120.11582510000001,51.5960947,
Spences Bridge,SETTLEMENTS,VILLAGE,-121.34365100000001,50.423089600000004,
Gitwinksihlkw,SETTLEMENTS,VILLAGE,-129.2222031,55.193119900000006,
Moha,SETTLEMENTS,HAMLET,-122.183333,50.866667,
Margaret Bay,SETTLEMENTS,TOWN,-127.50000000000001,51.316667,
Gold Bridge,SETTLEMENTS,VILLAGE,-122.8404524,50.8520571,
Minstrel Island,SETTLEMENTS,TOWN,-126.31666700000001,50.616667,
Hope,SETTLEMENTS,TOWN,-121.44135150000001,49.37994380000001,
Port Moody,SETTLEMENTS,CITY,-122.8293424,49.2822243,
Nazko,SETTLEMENTS,VILLAGE,-123.58279610000001,52.9426387,
Yale,SETTLEMENTS,VILLAGE,-121.432004,49.563655000000004,
Tchesinkut Lake,SETTLEMENTS,HAMLET,-125.71677960000001,54.1001665,
Clinton,SETTLEMENTS,VILLAGE,-121.5865244,51.091669800000005,
Bednesti,SETTLEMENTS,TOWN,-123.08333300000001,53.86666700000001,
Read Island,SETTLEMENTS,HAMLET,-125.08333300000001,50.183333000000005,
Old Fort,SETTLEMENTS,TOWN,-126.31666700000001,55.050000000000004,
Kitimat Mission,SETTLEMENTS,TOWN,-128.65,53.966667,
Tsawwassen,SETTLEMENTS,SUBURB,-123.08333300000001,49.016667000000005,
Whaletown,SETTLEMENTS,VILLAGE,-125.05188000000001,50.106488000000006,
Fort St. James,SETTLEMENTS,VILLAGE,-124.25969830000001,54.444695200000005,
Kwadacha,SETTLEMENTS,HAMLET,-125.616667,57.416667000000004,
McConnell Creek,SETTLEMENTS,TOWN,-126.50000000000001,56.883333,
Yekooche,SETTLEMENTS,HAMLET,-125.08333300000001,54.6,
Fulton River,SETTLEMENTS,VILLAGE,-126.15589860000001,54.8202476,
Baldonnel,SETTLEMENTS,HAMLET,-120.68925180000001,56.21739770000001,
Port Coquitlam,SETTLEMENTS,CITY,-122.78054250000001,49.2621643,
Nanaimo,SETTLEMENTS,CITY,-123.938122,49.16387700000001,
Seaton,SETTLEMENTS,TOWN,-127.366667,55.1,
Abbotsford,SETTLEMENTS,CITY,-122.329479,49.0521162,
Kuldo,SETTLEMENTS,HAMLET,-127.91619250000001,55.840037,
Lax Kw'alaams,SETTLEMENTS,TOWN,-130.430605,54.55458,
Inklin,SETTLEMENTS,TOWN,-133.13333300000002,58.900000000000006,
Gabriola,SETTLEMENTS,TOWN,-123.8468816,49.174655900000005,
Kingcome Inlet,SETTLEMENTS,TOWN,-126.2005472,50.952352100000006,
Extension,SETTLEMENTS,VILLAGE,-123.9578388,49.1001033,
Salmon Valley,SETTLEMENTS,TOWN,-122.65651020000001,54.094386,
Finmoore,SETTLEMENTS,HAMLET,-123.60000000000001,53.983333,
Rose Prairie,SETTLEMENTS,HAMLET,-120.81697960000001,56.5103159,
Anahim Lake,SETTLEMENTS,VILLAGE,-125.30181900000001,52.461867000000005,
Van Anda,SETTLEMENTS,VILLAGE,-124.557495,49.758203,
Williams Lake,SETTLEMENTS,CITY,-122.1397259,52.129265700000005,
Montney,SETTLEMENTS,HAMLET,-120.92532890000001,56.450516400000005,
